date,area,fips,area_type,population,per100k,cases,cumulative_cases,casesper100,total_tests,cumulative_total_tests,cmlper100,positive_tests,cumulative_positive_tests,cptper100,reported_cases,rptper100,cumulative_reported_cases,cumper100,reported_deaths,cumulative_reported_deaths
4/15/2020,Santa Barbara,06083,County,456373,5,25,491,98,155,4526,905,17,492,98,25,5,317,63,0,2
4/15/2020,Santa Clara,06085,County,1967585,20,33,2100,105,598,20018,1001,47,2568,128,131,7,1692,85,6,69
4/15/2020,Santa Cruz,06087,County,273999,3,8,114,38,89,2716,905,4,129,43,8,3,92,31,0,2
4/15/2020,Shasta,06089,County,177925,2,0,31,16,42,1300,650,0,56,28,1,1,25,13,0,3
4/15/2020,Sierra,06091,County,3115,0,0,0,0,2,10,10,0,0,0,0,0,0,0,0,0
4/15/2020,Siskiyou,06093,County,43956,0,0,5,5,5,295,295,0,11,11,0,0,5,5,0,0
4/15/2020,Solano,06095,County,444255,4,3,217,54,118,3343,836,7,190,48,13,3,153,38,0,2
4/15/2020,Sonoma,06097,County,496668,5,4,200,40,220,5294,1059,2,203,41,7,1,140,28,0,1
4/15/2020,Stanislaus,06099,County,562303,6,13,274,46,164,3643,607,14,261,44,38,6,174,29,0,3
4/15/2020,Sutter,06101,County,105747,1,1,25,25,26,598,598,0,21,21,0,0,19,19,0,2
4/15/2020,Tehama,06103,County,65885,1,0,1,1,4,241,241,0,4,4,0,0,1,1,0,1
4/15/2020,Trinity,06105,County,13354,0,0,0,0,3,98,98,0,0,0,0,0,0,0,0,0
4/15/2020,Tulare,06107,County,484423,5,23,486,97,147,2626,525,20,360,72,61,12,289,58,2,14
4/15/2020,Tuolumne,06109,County,52351,1,0,2,2,23,624,624,0,2,2,1,1,1,1,0,0
4/15/2020,Ventura,06111,County,852747,9,13,513,57,288,9121,1013,27,555,62,37,4,365,41,2,13
4/15/2020,Yolo,06113,County,223612,2,4,158,79,100,1768,884,10,178,89,12,6,93,47,0,3
4/15/2020,Yuba,06115,County,79290,1,1,15,15,33,486,486,1,8,8,1,1,15,15,0,1
4/22/2020,Alameda,06001,County,1685886,17,30,1584,93,845,18350,1079,29,1423,84,41,2,1275,75,0,46
4/22/2020,Alpine,06003,County,1117,0,0,1,1,2,13,13,0,1,1,0,0,1,1,0,0
4/22/2020,Amador,06005,County,38531,0,0,8,8,11,375,375,0,9,9,0,0,7,7,0,0
4/22/2020,Butte,06007,County,217769,2,1,19,10,55,1264,632,0,23,12,0,0,15,8,0,0
4/22/2020,Calaveras,06009,County,44289,0,1,13,13,12,405,405,1,15,15,0,0,12,12,0,0
4/22/2020,Colusa,06011,County,22593,0,0,3,3,5,79,79,0,3,3,0,0,3,3,0,0
4/22/2020,Contra Costa,06013,County,1160099,12,15,898,75,464,12098,1008,18,861,72,6,1,772,64,0,22
4/22/2020,Del Norte,06015,County,27558,0,0,2,2,9,292,292,0,4,4,0,0,2,2,0,0
4/22/2020,El Dorado,06017,County,193098,2,0,49,25,89,1951,976,3,48,24,3,2,39,20,0,0
4/22/2020,Fresno,06019,County,1032227,10,34,684,68,297,5044,504,26,447,45,16,2,388,39,0,7
4/22/2020,Glenn,06021,County,29348,0,0,5,5,2,89,89,0,4,4,0,0,3,3,0,0
4/22/2020,Humboldt,06023,County,134098,1,1,58,58,48,1674,1674,1,56,56,0,0,53,53,0,0
4/22/2020,Imperial,06025,County,191649,2,20,393,197,101,1676,838,17,263,132,5,3,170,85,1,3
4/22/2020,Inyo,06027,County,18453,0,0,19,19,5,255,255,0,21,21,0,0,18,18,0,0
4/22/2020,Kern,06029,County,927251,9,42,936,104,254,7182,798,34,503,56,37,4,713,79,0,4
4/22/2020,Kings,06031,County,156444,2,13,87,44,56,1372,686,5,53,27,0,0,28,14,0,1
4/22/2020,Lake,06033,County,64871,1,0,6,6,17,521,521,0,9,9,0,0,6,6,0,0
4/22/2020,Lassen,06035,County,30065,0,0,0,0,4,153,153,0,0,0,0,0,0,0,0,0
4/22/2020,Los Angeles,06037,County,10257557,103,859,22540,219,9306,193549,1879,1043,24809,241,1304,13,16400,159,65,715
4/22/2020,Madera,06039,County,160089,2,0,67,34,31,940,470,2,52,26,0,0,37,19,0,2
4/22/2020,Marin,06041,County,260800,3,6,221,74,123,3604,1201,7,233,78,0,0,202,67,1,11
4/22/2020,Mariposa,06043,County,17795,0,1,6,6,5,110,110,0,0,0,0,0,0,0,0,0
4/22/2020,Mendocino,06045,County,88439,1,0,5,5,12,863,863,0,7,7,0,0,5,5,0,0
4/22/2020,Merced,06047,County,287420,3,4,146,49,57,2010,670,3,150,50,3,1,92,31,0,3
4/22/2020,Modoc,06049,County,9475,0,0,0,0,2,93,93,0,0,0,0,0,0,0,0,0
4/22/2020,Mono,06051,County,13961,0,0,29,29,0,279,279,0,43,43,0,0,23,23,0,1
4/22/2020,Monterey,06053,County,448732,4,3,214,54,119,2686,672,4,186,47,3,1,154,39,0,4
4/22/2020,Napa,06055,County,139652,1,1,66,66,69,1104,1104,0,57,57,0,0,58,58,0,2
4/22/2020,Nevada,06057,County,98710,1,0,41,41,28,1059,1059,0,17,17,0,0,36,36,0,1
4/22/2020,Orange,06059,County,3228519,32,121,2777,87,1298,30021,938,146,2709,85,68,2,1785,56,0,36
4/22/2020,Placer,06061,County,400434,4,1,154,39,155,4383,1096,5,163,41,0,0,133,33,0,8
4/22/2020,Plumas,06063,County,18997,0,0,4,4,3,357,357,0,4,4,0,0,4,4,0,0
4/22/2020,Riverside,06065,County,2468145,25,131,3997,160,2330,44025,1761,137,4018,161,191,8,2822,113,8,76
4/22/2020,Sacramento,06067,County,1567975,16,10,1063,66,660,17787,1112,23,1138,71,18,1,959,60,3,36
4/22/2020,San Benito,06069,County,64022,1,1,48,48,17,844,844,0,61,61,0,0,43,43,0,2
4/22/2020,San Bernardino,06071,County,2217398,22,61,2090,95,1144,21615,983,113,2293,104,65,3,1564,71,3,74
4/22/2020,San Diego,06073,County,3370418,34,155,3564,105,1253,32110,944,159,3186,94,57,2,2493,73,9,96
4/22/2020,San Francisco,06075,County,892280,9,30,1549,172,871,11099,1233,26,1456,162,23,3,1255,139,1,21
4/22/2020,San Joaquin,06077,County,782545,8,10,535,67,351,7244,906,13,603,75,15,2,462,58,0,20
4/22/2020,San Luis Obispo,06079,County,278862,3,4,195,65,143,3505,1168,5,206,69,8,3,142,47,0,1
4/22/2020,San Mateo,06081,County,778001,8,46,1268,159,737,12769,1596,52,1643,205,12,2,945,118,6,40
4/22/2020,Santa Barbara,06083,County,456373,5,11,564,113,192,5496,1099,15,567,113,23,5,437,87,1,6
4/22/2020,Santa Clara,06085,County,1967585,20,40,2315,116,1384,25367,1268,81,2922,146,26,1,1969,98,4,95
4/22/2020,Santa Cruz,06087,County,273999,3,2,130,43,108,3290,1097,3,154,51,2,1,106,35,0,2
4/22/2020,Shasta,06089,County,177925,2,1,34,17,38,1563,782,0,70,35,0,0,26,13,0,3
4/22/2020,Sierra,06091,County,3115,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
4/22/2020,Siskiyou,06093,County,43956,0,0,5,5,3,340,340,0,11,11,0,0,5,5,0,0
4/22/2020,Solano,06095,County,444255,4,8,248,62,135,4107,1027,10,237,59,2,1,195,49,0,3
4/22/2020,Sonoma,06097,County,496668,5,10,238,48,261,6528,1306,16,258,52,3,1,185,37,0,1
4/22/2020,Stanislaus,06099,County,562303,6,19,335,56,262,4898,816,15,341,57,12,2,247,41,0,4
4/22/2020,Sutter,06101,County,105747,1,0,28,28,30,769,769,0,24,24,0,0,22,22,0,2
4/22/2020,Tehama,06103,County,65885,1,0,1,1,4,273,273,0,4,4,0,0,1,1,0,1
4/22/2020,Trinity,06105,County,13354,0,0,0,0,2,106,106,0,0,0,0,0,0,0,0,0
4/22/2020,Tulare,06107,County,484423,5,35,627,125,102,3179,636,24,426,85,15,3,425,85,0,23
4/22/2020,Tuolumne,06109,County,52351,1,0,2,2,12,715,715,0,2,2,0,0,2,2,0,0
4/22/2020,Ventura,06111,County,852747,9,12,583,65,324,10955,1217,17,663,74,10,1,465,52,1,15
4/22/2020,Yolo,06113,County,223612,2,2,170,85,83,2307,1154,7,217,109,4,2,147,74,0,8
4/22/2020,Yuba,06115,County,79290,1,0,16,16,23,626,626,1,9,9,0,0,15,15,0,1
4/29/2020,Alameda,06001,County,1685886,17,57,1907,112,1178,24325,1431,58,1691,99,39,2,1564,92,5,60
4/29/2020,Alpine,06003,County,1117,0,0,1,1,1,14,14,0,1,1,0,0,1,1,0,0
4/29/2020,Amador,06005,County,38531,0,0,8,8,14,465,465,0,9,9,0,0,8,8,0,0
4/29/2020,Butte,06007,County,217769,2,0,21,11,48,1620,810,0,25,13,0,0,16,8,0,0
4/29/2020,Calaveras,06009,County,44289,0,0,13,13,14,477,477,0,15,15,0,0,13,13,0,0
4/29/2020,Colusa,06011,County,22593,0,0,3,3,5,111,111,0,3,3,0,0,3,3,0,0
4/29/2020,Contra Costa,06013,County,1160099,12,7,991,83,644,15287,1274,17,978,82,19,2,885,74,0,25
4/29/2020,Del Norte,06015,County,27558,0,0,4,4,12,380,380,0,4,4,0,0,3,3,0,0
4/29/2020,El Dorado,06017,County,193098,2,1,56,28,78,2399,1200,3,53,27,1,1,44,22,0,0
4/29/2020,Fresno,06019,County,1032227,10,49,1043,104,302,6992,699,34,671,67,19,2,544,54,0,7
4/29/2020,Glenn,06021,County,29348,0,2,7,7,3,114,114,0,4,4,0,0,4,4,0,0
4/29/2020,Humboldt,06023,County,134098,1,1,59,59,133,2292,2292,0,58,58,0,0,53,53,0,0
4/29/2020,Imperial,06025,County,191649,2,34,555,278,143,2447,1224,19,371,186,5,3,300,150,0,6
4/29/2020,Inyo,06027,County,18453,0,0,19,19,8,310,310,0,21,21,0,0,20,20,0,1
4/29/2020,Kern,06029,County,927251,9,41,1189,132,321,8866,985,37,715,79,28,3,910,101,1,6
4/29/2020,Kings,06031,County,156444,2,13,224,112,114,2066,1033,21,219,110,23,12,80,40,0,1
4/29/2020,Lake,06033,County,64871,1,0,9,9,24,657,657,1,10,10,0,0,6,6,0,0
